,tasty,name,price,target,category,coffee
72,고소&쌉쌀,인도 아라쿠 워시드,"14,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['인도', '아라쿠', '아라쿠, 후쿰페타', 'Sln.5B, 카우베리 외']"
73,과일&꽃향기,에티오피아 예가체프 게뎁 반코 고티티 G1 워시드,"14,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['에티오피아', 'Banko Gotiti Kebele, Gedeb Woreda, Gedeo Zone, SNNPR', 'Native Heirloom']"
74,과일&풍부한,에티오피아 시다마 벤사 분초 애너로빅 내추럴,"24,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['에티오피아', 'Buncho Washing Station', 'Shantawane Kebele, Bensa Woreda, Sidama Region', '74158']"
75,과일&화사한,콜롬비아 아마티보 로꼬시리즈 세션 게이샤,"28,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['콜롬비아', 'Alquimista Processing Station', 'Circasia', 'Geisha']"
76,고소&부드러운,디카페인 싱글오리진,"14,000원
200g","['3일 내 볶은 원두만 배송', '디카페인', '약한 산미', '싱글 오리진', '미디엄 다크 로스팅']","['에스프레소머신', '핸드드립', '커피메이커', '블랙 그대로', '우유 넣은 라떼']",['온두라스']
77,과일&화사한,에티오피아 시다마 파피초 내추럴,"20,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['에티오피아', '시다마', '74110,74112']"
78,꽃향기&은은한,에티오피아 물루게타 문타샤 워시드,"20,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['에티오피아', '물루게타 문타샤', '시다모', '74158']"
79,달콤&밸런스,과테말라 라 메르세드 부르봉&티피카,"20,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['San Martin Jilltepeque', '부르봉, 티피카', '라 메르세드']"
80,달콤&고소,브라질 시티오 바라 펄프드내추럴,"13,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '싱글 오리진', '미디엄 로스팅']","['커피메이커', '핸드드립', '블랙 그대로']","['브라질', '시티오 바라', '미나스 제라이스', '옐로우버번']"
81,밸런스&고소,카넬리안 블렌드,"13,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '미디엄 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['콜롬비아 우일라 워시드', '브라질 옐로우 버번 워시드', '에티오피아 리무 내추럴']"
82,고소&긴여운,오닉스 블렌드,"12,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '블렌드', '미디엄 다크 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['브라질 옐로우 버번 워시드', '콜롬비아 후일라 워시드', '과테말라 안티구아 워시드', '인도 아자드 힌드 CxR 워시드']"
83,풍부한&초콜릿,아이올라이트 블렌드,"14,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '미디엄 다크 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['케냐 풀리워시드', '온두라스 워시드', '과테말라 워시드', '콜롬비아 워시드']"
84,고소&밸런스,페루 카하마르카 디카페인,"15,000원
200g","['3일 내 볶은 원두만 배송', '디카페인', '약한 산미', '싱글 오리진', '미디엄 로스팅']","['커피메이커', '에스프레소머신', '핸드드립', '블랙 그대로', '우유 넣은 라떼']","['페루', '1900-2200m', '카하마르카 하옌', 'Typica, Caturra, Mundo Novo, Catimor, Pache']"
85,과일&상큼,에티오피아 이디도,"15,000원
200g","['3일 내 볶은 원두만 배송', '강한 산미', '싱글 오리진', '미디엄 로스팅']","['핸드드립', '에스프레소머신', '커피메이커', '블랙 그대로']","['에티오피아', '1980-2200m', 'idido, Gedeo, SNNP Region', 'Ethiopia Heirloom']"
